instance,algorithm,language,distance,runtime_seconds,time_to_best,route
berlin8,OR-Tools,Python,2551,0.014384,0.012,1 -> 2 -> 7 -> 3 -> 8 -> 4 -> 6 -> 5 -> 1
berlin8,GA,C++,2551,5.000268,0.0,1 -> 2 -> 7 -> 3 -> 8 -> 4 -> 6 -> 5 -> 1
berlin8,ACO,C++,2551,1.524614,0.0,1 -> 2 -> 7 -> 3 -> 8 -> 4 -> 6 -> 5 -> 1
berlin8,LLM,Python scorer + GLM (builtin:bigmodel-coding-plan/GLM-5.3) via ZCode agent,2551,1.0,0.0,2 -> 7 -> 3 -> 8 -> 4 -> 6 -> 5 -> 1 -> 2
berlin52,OR-Tools,Python,7542,0.218667,0.209,1 -> 22 -> 31 -> 18 -> 3 -> 17 -> 21 -> 42 -> 7 -> 2 -> 30 -> 23 -> 20 -> 50 -> 29 -> 16 -> 46 -> 44 -> 34 -> 35 -> 36 -> 39 -> 40 -> 37 -> 38 -> 48 -> 24 -> 5 -> 15 -> 6 -> 4 -> 25 -> 12 -> 28 -> 27 -> 26 -> 47 -> 13 -> 14 -> 52 -> 11 -> 51 -> 33 -> 43 -> 10 -> 9 -> 8 -> 41 -> 19 -> 45 -> 32 -> 49 -> 1
berlin52,GA,C++,7542,5.037766,0.024,1 -> 22 -> 31 -> 18 -> 3 -> 17 -> 21 -> 42 -> 7 -> 2 -> 30 -> 23 -> 20 -> 50 -> 29 -> 16 -> 46 -> 44 -> 34 -> 35 -> 36 -> 39 -> 40 -> 37 -> 38 -> 48 -> 24 -> 5 -> 15 -> 6 -> 4 -> 25 -> 12 -> 28 -> 27 -> 26 -> 47 -> 13 -> 14 -> 52 -> 11 -> 51 -> 33 -> 43 -> 10 -> 9 -> 8 -> 41 -> 19 -> 45 -> 32 -> 49 -> 1
berlin52,ACO,C++,7542,5.003507,0.003,1 -> 22 -> 31 -> 18 -> 3 -> 17 -> 21 -> 42 -> 7 -> 2 -> 30 -> 23 -> 20 -> 50 -> 29 -> 16 -> 46 -> 44 -> 34 -> 35 -> 36 -> 39 -> 40 -> 37 -> 38 -> 48 -> 24 -> 5 -> 15 -> 6 -> 4 -> 25 -> 12 -> 28 -> 27 -> 26 -> 47 -> 13 -> 14 -> 52 -> 11 -> 51 -> 33 -> 43 -> 10 -> 9 -> 8 -> 41 -> 19 -> 45 -> 32 -> 49 -> 1
berlin52,LLM,Python scorer + GLM (builtin:bigmodel-coding-plan/GLM-5.3) via ZCode agent,7542,1.0,0.0,1 -> 22 -> 31 -> 18 -> 3 -> 17 -> 21 -> 42 -> 7 -> 2 -> 30 -> 23 -> 20 -> 50 -> 29 -> 16 -> 46 -> 44 -> 34 -> 35 -> 36 -> 39 -> 40 -> 37 -> 38 -> 48 -> 24 -> 5 -> 15 -> 6 -> 4 -> 25 -> 12 -> 28 -> 27 -> 26 -> 47 -> 13 -> 14 -> 52 -> 11 -> 51 -> 33 -> 43 -> 10 -> 9 -> 8 -> 41 -> 19 -> 45 -> 32 -> 49 -> 1
pr76,OR-Tools,Python,108159,103.752884,4.251,1 -> 23 -> 22 -> 21 -> 25 -> 24 -> 46 -> 45 -> 44 -> 48 -> 47 -> 69 -> 68 -> 70 -> 67 -> 50 -> 49 -> 51 -> 66 -> 65 -> 71 -> 72 -> 73 -> 64 -> 63 -> 62 -> 61 -> 41 -> 60 -> 59 -> 58 -> 57 -> 56 -> 55 -> 52 -> 53 -> 54 -> 42 -> 43 -> 28 -> 27 -> 26 -> 20 -> 19 -> 31 -> 30 -> 29 -> 32 -> 33 -> 35 -> 34 -> 40 -> 39 -> 38 -> 36 -> 37 -> 18 -> 17 -> 16 -> 15 -> 74 -> 14 -> 13 -> 12 -> 11 -> 10 -> 9 -> 8 -> 7 -> 6 -> 5 -> 4 -> 3 -> 2 -> 75 -> 76 -> 1
pr76,GA,C++,108159,5.106029,0.072,1 -> 23 -> 22 -> 21 -> 25 -> 24 -> 46 -> 45 -> 44 -> 48 -> 47 -> 69 -> 68 -> 70 -> 67 -> 50 -> 49 -> 51 -> 66 -> 65 -> 71 -> 72 -> 73 -> 64 -> 63 -> 62 -> 61 -> 41 -> 60 -> 59 -> 58 -> 57 -> 56 -> 55 -> 52 -> 53 -> 54 -> 42 -> 43 -> 28 -> 27 -> 26 -> 20 -> 19 -> 31 -> 30 -> 29 -> 32 -> 33 -> 35 -> 34 -> 40 -> 39 -> 38 -> 36 -> 37 -> 18 -> 17 -> 16 -> 15 -> 74 -> 14 -> 13 -> 12 -> 11 -> 10 -> 9 -> 8 -> 7 -> 6 -> 5 -> 4 -> 3 -> 2 -> 75 -> 76 -> 1
